Borough,Year,Crime rate,Primary & Utilities,Manufacturing,Construction,Wholesale,Retail,Transportation and Storage,Accomodation and food service activities,Information and Communication,Financial and insurance activities,"Professional, Real Estate, Scientific and technical activities",Administrative and support service activities,Public Admin and defence,Education,Health,"Arts, entertainment and recreation",Other services,Dwellings per hectare,Average number of homeless people per 1000,Attainment,Happiness score out of 10,Anxiety score out of 10,Worthwhile score out of 10,Life satisfaction score out of 10,Ratio of house prices to earnings,Wage per hour,Population per hectare,Life expectancy of men at 65,Life expectancy of women at 65,% of Public sector jobs,% of Private sector jobs,Consumer expenditure on Alcoholic beverages (£mn),Consumer expenditure on Pubs and Wine bars (£mn)
Waltham Forest,2017,80.0,0.828,4.138,6.207,6.207,11.034,6.207,5.517,2.759,1.241,6.897,13.793,2.759,12.414,15.172,2.414,2.414,26.4,7.74,45.5,7.62,2.62,7.92,7.67,14.08,13.47,72.2,19.2,21.8,21.2,78.8,23.76468408,38.76143235
Wandsworth,2017,74.0,0.378,1.258,3.775,5.034,10.067,3.775,8.389,5.034,1.049,13.423,8.389,3.775,10.067,20.134,2.936,2.517,40.9,5.82,49.5,7.55,3.36,7.88,7.64,16.38,18.93,93.3,18.8,21.3,20.6,79.4,108.6751484,198.882262
Westminster,2017,215.0,0.363,0.653,2.177,2.322,8.563,2.032,12.046,9.724,7.257,21.48,8.708,8.999,4.064,4.79,3.483,3.338,56.0,4.47,52.6,7.56,2.99,7.77,7.68,24.36,19.95,116.4,21.3,23.4,13.9,86.1,112.1744956,221.5882873
Barking and Dagenham,2018,86.0,1.322,8.499,6.61,11.331,9.443,8.499,4.721,2.833,0.944,4.249,13.22,3.777,11.331,9.443,1.889,1.889,19.8,6.51,46.1,7.61,2.85,7.95,7.66,10.4,12.52,58.9,17.5,20.6,15.7,84.3,22.05706529,32.68193318
Barnet,2018,70.0,0.231,2.311,6.163,5.393,11.556,2.696,7.704,4.622,1.541,14.638,9.245,2.311,11.556,14.638,2.311,3.082,17.4,2.88,56.0,7.38,2.78,7.86,7.63,14.45,15.61,45.8,20.5,22.8,15.0,85.0,65.86890179,116.2774472
Bexley,2018,62.0,1.671,6.016,8.021,6.684,12.032,6.016,6.016,3.008,1.07,8.021,13.369,4.679,9.358,10.695,1.671,1.671,15.2,5.04,49.6,7.45,3.04,7.79,7.42,10.04,14.66,41.3,18.7,21.8,14.6,85.4,25.91417845,37.66559204
Brent,2018,87.0,0.998,6.387,6.387,9.581,10.379,6.387,7.984,3.593,0.998,8.782,9.581,2.395,7.984,15.17,1.796,1.597,27.5,4.32,49.9,7.7,2.7,7.89,7.79,16.32,13.11,77.9,20.1,22.7,19.2,80.8,45.90239853,78.13290128
Bromley,2018,70.0,0.76,1.899,6.648,3.799,12.346,2.849,7.597,4.274,4.748,10.446,10.446,2.849,9.497,16.144,3.324,2.374,9.3,4.48,50.3,7.35,3.16,7.42,7.31,11.0,17.77,22.2,19.6,22.3,13.6,86.4,59.96731719,98.80784122
Camden,2018,143.0,0.554,1.108,2.493,2.77,6.094,2.493,8.587,12.188,2.493,21.884,9.141,3.047,9.695,11.634,2.77,3.047,48.1,0.84,48.0,7.11,3.62,7.49,7.31,18.23,18.18,115.9,21.4,24.6,12.3,87.7,114.3142746,214.4100951
Croydon,2018,80.0,0.821,1.643,5.749,4.928,13.142,4.107,6.571,4.928,2.875,10.678,8.214,9.035,9.856,13.142,1.848,2.464,18.4,4.69,45.8,7.38,3.27,7.58,7.49,10.46,14.87,45.2,19.5,21.6,20.9,79.1,78.16260355,129.2813356
